,Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Qiyməti,Yerlərin sayı,Sahiblər,Hansı bazar üçün yığılıb
97,Sumqayıt,Mercedes,C 180,1996,Sedan,Gümüşü,1.8 L/122 a.g./Benzin,230 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",9 000 AZN,5.0,2.0,Avropa
98,Bakı,Toyota,RAV 4,2020,Offroader / SUV,Boz,2.0 L/172 a.g./Benzin,14 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",31 200 USD,5.0,1.0,Avropa
99,Bakı,Mercedes,C 200,1997,Sedan,Göy,2.0 L/136 a.g./Benzin,330 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",10 900 AZN,5.0,1.0,Avropa
100,Bakı,Porsche,Panamera,2010,Liftbek,Qara,3.6 L/300 a.g./Benzin,135 900 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",27 800 USD,5.0,1.0,Avropa
101,Bakı,Changan,Uni-T,2022,Offroader / SUV,Qara,1.5 L/180 a.g./Benzin,2 800 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",47 500 AZN,5.0,1.0,Avropa
102,Sumqayıt,Nissan,Tiida,2007,Sedan,Qara,1.6 L/110 a.g./Benzin,192 321 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",13 800 AZN,5.0,1.0,Avropa
103,Bakı,Mercedes,GLS 450,2022,Offroader / SUV,Qara,3.0 L/367 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",149 500 USD,7.0,1.0,Avropa
104,Bakı,Mercedes,GLS 580,2022,Offroader / SUV,Qara,4.0 L/483 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",188 000 USD,7.0,1.0,Rəsmi diler
105,Bakı,Hyundai,Elantra,2015,Sedan,Göy,1.8 L/150 a.g./Benzin,138 404 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",21 800 AZN,5.0,2.0,Avropa
106,Bakı,Peugeot,2008,2022,Offroader / SUV,Tünd qırmızı,1.2 L/130 a.g./Benzin,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",54 100 AZN,5.0,1.0,Avropa
107,Bakı,Kia,Sorento,2013,Offroader / SUV,Qara,2.0 L/184 a.g./Dizel,146 200 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",34 300 AZN,7.0,1.0,Koreya
108,Bakı,Mercedes,E 300 de,2022,Sedan,Qara,2.0 L/306 a.g./Plug-in Hibrid,0 km,Avtomat,Arxa,Bəli,"Vuruğu yoxdur, rənglənməyib",76 000 USD,5.0,1.0,Avropa
109,Zaqatala,Mitsubishi,Pajero,1994,Offroader / SUV,Gümüşü,2.8 L/125 a.g./Dizel,216 950 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",9 200 AZN,5.0,0.0,Avropa
110,Bakı,Hyundai,Elantra,2008,Sedan,Yaş Asfalt,1.6 L/115 a.g./Dizel,175 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",12 500 AZN,4.0,2.0,Avropa
111,Bakı,Mazda,6,2020,Sedan,Ağ,2.5 L/192 a.g./Benzin,65 563 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",27 700 USD,5.0,1.0,Rəsmi diler
112,Bakı,Porsche,Panamera 4S,2017,Liftbek,Qara,2.9 L/440 a.g./Benzin,56 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",86 000 USD,4.0,1.0,Avropa
113,Bakı,Mercedes,C 200,2010,Sedan,Ağ,2.0 L/184 a.g./Benzin,238 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",22 900 AZN,5.0,1.0,Avropa
114,Bakı,Land Rover,Discovery,2021,Offroader / SUV,Ağ,3.0 L/340 a.g./Benzin,18 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",85 000 USD,7.0,1.0,Avropa
